"run_id","evidence_category","path","evidence_status"
"llmpruner_codellama7b_layerwise_cpu_smoke_20260722_222955","smoke","results/evidence/smoke/llmpruner_codellama7b_layerwise_cpu_smoke_20260722_222955","present"
"llmpruner_codellama7b_mbpp_4task_offload_smoke_20260722_233633","smoke","results/evidence/smoke/llmpruner_codellama7b_mbpp_4task_offload_smoke_20260722_233633","present"
"llmpruner_tiny_llama_layerwise_smoke_20260718_175411","smoke","results/evidence/smoke/llmpruner_tiny_llama_layerwise_smoke_20260718_175411","present"
"llmpruner_tiny_llama_layerwise_smoke_20260718_175604","smoke","results/evidence/smoke/llmpruner_tiny_llama_layerwise_smoke_20260718_175604","present"
"llmpruner_tiny_llama_layerwise_smoke_20260718_175708","smoke","results/evidence/smoke/llmpruner_tiny_llama_layerwise_smoke_20260718_175708","present"
"qwen15b_humaneval_smoke_eval_20260721_180903","smoke","results/evidence/smoke/qwen15b_humaneval_smoke_eval_20260721_180903","present"
"qwen15b_mbpp_smoke_eval_20260721_184715","smoke","results/evidence/smoke/qwen15b_mbpp_smoke_eval_20260721_184715","present"
"qwen3b_humaneval_smoke_eval_20260721_181657","smoke","results/evidence/smoke/qwen3b_humaneval_smoke_eval_20260721_181657","present"
"qwen3b_mbpp_smoke_eval_20260721_184936","smoke","results/evidence/smoke/qwen3b_mbpp_smoke_eval_20260721_184936","present"
"slicegpt_codellama7b_humaneval_1task_offload_smoke_20260723_011118","smoke","results/evidence/smoke/slicegpt_codellama7b_humaneval_1task_offload_smoke_20260723_011118","present"
"slicegpt_codellama7b_min_prune_smoke_20260722_235632","smoke","results/evidence/smoke/slicegpt_codellama7b_min_prune_smoke_20260722_235632","present"
"slicegpt_codellama7b_r3_humaneval_mbpp_4task_20260723_021439","smoke","results/evidence/smoke/slicegpt_codellama7b_r3_humaneval_mbpp_4task_20260723_021439","present"
"slicegpt_opt125m_smoke_20260718_173646","smoke","results/evidence/smoke/slicegpt_opt125m_smoke_20260718_173646","present"
"flab_qwen25c3b_r4_benchguided_keep080_dryrun_20260723_190651","superseded","results/evidence/superseded/flab_qwen25c3b_r4_benchguided_keep080_dryrun_20260723_190651","present"
"flab_qwen25c3b_r4_benchguided_keep080_prune_20260723_191803","superseded","results/evidence/superseded/flab_qwen25c3b_r4_benchguided_keep080_prune_20260723_191803","present"
"flab_qwen3b_humaneval_dry_run_20260718_194007","superseded","results/evidence/superseded/flab_qwen3b_humaneval_dry_run_20260718_194007","present"
"flab_qwen3b_humaneval_dry_run_20260718_201552","superseded","results/evidence/superseded/flab_qwen3b_humaneval_dry_run_20260718_201552","present"
"flab_qwen3b_humaneval_prune_heavy_20260718_194356","superseded","results/evidence/superseded/flab_qwen3b_humaneval_prune_heavy_20260718_194356","present"
