run_id,category,method_scope,model,protocol,variant,round,execution_status,validity_status,quality_gate,officiality,result_completeness,evidence_path,metadata_present,summary_present,superseded_by,notes
stage1_readiness_check_20260718_184023,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/stage1_readiness_check_20260718_184023,true,true,,
stage1_readiness_check_20260718_184509,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/stage1_readiness_check_20260718_184509,true,true,,
stage1_readiness_check_20260718_193412,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/stage1_readiness_check_20260718_193412,true,true,,
write_qwen_model_manifests_20260718_184729,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/write_qwen_model_manifests_20260718_184729,true,true,,
codellama7b_4bit_r4_baseline_evalhalf_20260725_161912,r4_half,baseline,codellama/CodeLlama-7b-hf,r4_half,baseline,R4,completed,valid,pass,local_official_adapter,complete,results/evidence/r4_half/codellama7b_4bit_r4_baseline_evalhalf_20260725_161912,false,true,,
flab_qwen15b_benchmark_activation_he_keep80_attempt_20260804_123140,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,r4_half,benchmark_activation_he_keep80,R4,blocked,diagnostic_only,fail,experimental_extension,not_applicable,results/evidence/r4_half/flab_qwen15b_benchmark_activation_he_keep80_attempt_20260804_123140,true,true,,benchmark activation entered plain HF model path; vendored prune API requires config/stage and no verified external per-channel mask schema
flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,benchmark_guided_keep80_lora_merged,R4,completed,valid,fail,experimental_extension,complete,results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006,false,true,,
flab_qwen25c3b_r4_benchguided_keep80_prune_20260723_192329,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,benchmark_guided_keep80,R4,completed,valid,fail,experimental_extension,complete,results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_prune_20260723_192329,false,false,,
flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,default_keep80_lora_merged,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144,false,true,,
flab_qwen25c3b_r4_default_keep80_prune_20260723_193222,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,default_keep80,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_prune_20260723_193222,false,false,,
flab_qwen25c3b_r4_lora_recovery_20260724_042157,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,unknown,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/flab_qwen25c3b_r4_lora_recovery_20260724_042157,false,false,,
flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,unknown,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,false,true,,
flabpruner_qwen25c15b_official_keep80_20260730_015031,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,r4_half,official_keep80,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031,false,true,,
flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449,r4_half,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,official_keep80,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449,false,true,,
llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022,r4_half,LLM-Pruner,codellama/CodeLlama-7b-hf,r4_half,layerdrop_keep80,R4,completed,valid,fail,fallback_non_official,complete,results/evidence/r4_half/llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022,false,true,,
llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340,r4_half,LLM-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,r4_half,official_keep80,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340,false,true,,
llmpruner_qwen25c3b_official_keep80_20260729_061042,r4_half,LLM-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,official_keep80,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/llmpruner_qwen25c3b_official_keep80_20260729_061042,false,false,,
magnitude_qwen15b_keep80_raw_formal_attempt_20260804_123140,r4_half,Magnitude,Qwen/Qwen2.5-Coder-1.5B-Instruct,r4_half,official_keep80,R4,partial,diagnostic_only,not_applicable,local_official_adapter,partial,results/evidence/r4_half/magnitude_qwen15b_keep80_raw_formal_attempt_20260804_123140,true,true,,
pilot_keep80_official_all_20260727_174732,r4_half,Flab-Pruner;LLM-Pruner;SliceGPT,unknown,r4_half,official_keep80,R4,completed,valid,pass,local_official_adapter,pilot,results/evidence/r4_half/pilot_keep80_official_all_20260727_174732,false,true,,5-task pilot excluded from formal table
qwen25c15b_official_evalhalf_20260729_172949,r4_half,baseline,Qwen/Qwen2.5-Coder-1.5B-Instruct,r4_half,baseline,R4,completed,valid,pass,local_official_adapter,complete,results/evidence/r4_half/qwen25c15b_official_evalhalf_20260729_172949,false,true,,
qwen25c3b_official_evalhalf_20260727_135521,r4_half,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,baseline,R4,completed,valid,pass,local_official_adapter,complete,results/evidence/r4_half/qwen25c3b_official_evalhalf_20260727_135521,false,true,,
qwen25c3b_r4_baseline_evalhalf_20260723_193503,r4_half,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,baseline,R4,completed,valid,pass,local_official_adapter,complete,results/evidence/r4_half/qwen25c3b_r4_baseline_evalhalf_20260723_193503,false,true,qwen25c3b_official_evalhalf_20260727_135521,
qwen25c3b_r4_baseline_evalhalf_recheck_20260726_181426,r4_half,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,r4_half,baseline,R4,completed,valid,pass,local_official_adapter,complete,results/evidence/r4_half/qwen25c3b_r4_baseline_evalhalf_recheck_20260726_181426,false,true,qwen25c3b_official_evalhalf_20260727_135521,
slicegpt_codellama7b_r4_benchguided_evalhalf_20260726_053225,r4_half,SliceGPT,codellama/CodeLlama-7b-hf,r4_half,benchmark_guided_sliced_model,R4,partial,valid,fail,experimental_extension,partial,results/evidence/r4_half/slicegpt_codellama7b_r4_benchguided_evalhalf_20260726_053225,false,true,,
slicegpt_codellama7b_r4_offload_probe_20260726_044311,r4_half,SliceGPT,codellama/CodeLlama-7b-hf,r4_half,unknown,R4,partial,valid,fail,local_official_adapter,partial,results/evidence/r4_half/slicegpt_codellama7b_r4_offload_probe_20260726_044311,false,true,,
slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001,r4_half,SliceGPT,Qwen/Qwen2.5-Coder-1.5B-Instruct,r4_half,sliced_model,R4,completed,valid,fail,local_official_adapter,complete,results/evidence/r4_half/slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001,false,true,,
wanda_qwen15b_he_keep80_raw_formal_attempt_20260804_123140,r4_half,Wanda,Qwen/Qwen2.5-Coder-1.5B-Instruct,r4_half,official_keep80,R4,partial,diagnostic_only,not_applicable,local_official_adapter,partial,results/evidence/r4_half/wanda_qwen15b_he_keep80_raw_formal_attempt_20260804_123140,true,true,,
flab_benchmark_activation_tiny_smoke_20260804_130541,smoke,Flab-Pruner,unknown,smoke,unknown,smoke,blocked,diagnostic_only,not_applicable,experimental_extension,not_applicable,results/evidence/smoke/flab_benchmark_activation_tiny_smoke_20260804_130541,true,true,,vendored Flab Qwen2 prune API accepts config/stage target dimensions but does not expose a verified external per-channel mask schema for benchmark_activation
flab_qwen3b_humaneval_prune_heavy_20260718_202722,smoke,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/flab_qwen3b_humaneval_prune_heavy_20260718_202722,true,true,,
flab_qwen3b_humaneval_prune_heavy_20260718_203150,smoke,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/flab_qwen3b_humaneval_prune_heavy_20260718_203150,true,true,,
flab_qwen3b_humaneval_prune_heavy_20260718_204006,smoke,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/flab_qwen3b_humaneval_prune_heavy_20260718_204006,true,true,,
flab_qwen3b_pruned_humaneval_smoke_eval_20260721_182050,smoke,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/flab_qwen3b_pruned_humaneval_smoke_eval_20260721_182050,false,true,,
flab_qwen3b_pruned_mbpp_smoke_eval_20260721_185132,smoke,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/flab_qwen3b_pruned_mbpp_smoke_eval_20260721_185132,false,true,,
laco_upstream_smoke_20260804_130541,smoke,LaCo,tiny-random-LlamaForCausalLM,smoke,unknown,smoke,completed,diagnostic_only,not_applicable,local_official_adapter,complete,results/evidence/smoke/laco_upstream_smoke_20260804_130541,true,true,,
llmpruner_codellama7b_humaneval_4task_offload_smoke_20260722_232800,smoke,LLM-Pruner,codellama/CodeLlama-7b-hf,smoke,unknown,smoke,completed,valid,pass,fallback_non_official,complete,results/evidence/smoke/llmpruner_codellama7b_humaneval_4task_offload_smoke_20260722_232800,false,true,,
llmpruner_codellama7b_layerwise_cpu_smoke_20260722_222955,smoke,LLM-Pruner,codellama/CodeLlama-7b-hf,smoke,unknown,smoke,completed,valid,pass,fallback_non_official,complete,results/evidence/smoke/llmpruner_codellama7b_layerwise_cpu_smoke_20260722_222955,false,true,,
llmpruner_codellama7b_mbpp_4task_offload_smoke_20260722_233633,smoke,LLM-Pruner,codellama/CodeLlama-7b-hf,smoke,unknown,smoke,completed,valid,pass,fallback_non_official,complete,results/evidence/smoke/llmpruner_codellama7b_mbpp_4task_offload_smoke_20260722_233633,false,true,,
llmpruner_tiny_llama_layerwise_smoke_20260718_175411,smoke,LLM-Pruner,TinyLlama/TinyLlama-1.1B,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/llmpruner_tiny_llama_layerwise_smoke_20260718_175411,true,true,,
llmpruner_tiny_llama_layerwise_smoke_20260718_175604,smoke,LLM-Pruner,TinyLlama/TinyLlama-1.1B,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/llmpruner_tiny_llama_layerwise_smoke_20260718_175604,true,true,,
llmpruner_tiny_llama_layerwise_smoke_20260718_175708,smoke,LLM-Pruner,TinyLlama/TinyLlama-1.1B,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/llmpruner_tiny_llama_layerwise_smoke_20260718_175708,true,true,,
qwen15b_humaneval_smoke_eval_20260721_180903,smoke,baseline,Qwen/Qwen2.5-Coder-1.5B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/qwen15b_humaneval_smoke_eval_20260721_180903,false,true,,
qwen15b_mbpp_smoke_eval_20260721_184715,smoke,baseline,Qwen/Qwen2.5-Coder-1.5B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/qwen15b_mbpp_smoke_eval_20260721_184715,false,true,,
qwen3b_humaneval_smoke_eval_20260721_181657,smoke,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/qwen3b_humaneval_smoke_eval_20260721_181657,false,true,,
qwen3b_mbpp_smoke_eval_20260721_184936,smoke,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/qwen3b_mbpp_smoke_eval_20260721_184936,false,true,,
slicegpt_codellama7b_humaneval_1task_offload_smoke_20260723_011118,smoke,SliceGPT,codellama/CodeLlama-7b-hf,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/slicegpt_codellama7b_humaneval_1task_offload_smoke_20260723_011118,false,true,,
slicegpt_codellama7b_min_prune_smoke_20260722_235632,smoke,SliceGPT,codellama/CodeLlama-7b-hf,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/slicegpt_codellama7b_min_prune_smoke_20260722_235632,false,true,,
slicegpt_codellama7b_r3_humaneval_mbpp_4task_20260723_021439,smoke,SliceGPT,codellama/CodeLlama-7b-hf,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/slicegpt_codellama7b_r3_humaneval_mbpp_4task_20260723_021439,false,true,,
slicegpt_opt125m_smoke_20260718_173646,smoke,SliceGPT,facebook/opt-125m,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/slicegpt_opt125m_smoke_20260718_173646,true,true,,
swebench_lite_dataset_smoke_20260804_123140,smoke,shared,unknown,smoke,unknown,smoke,completed,valid,pass,local_official_adapter,complete,results/evidence/smoke/swebench_lite_dataset_smoke_20260804_123140,true,true,,
flab_qwen25c3b_r4_benchguided_keep080_dryrun_20260723_190651,superseded,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,superseded,unknown,audit,superseded,invalid,not_applicable,experimental_extension,not_applicable,results/evidence/superseded/flab_qwen25c3b_r4_benchguided_keep080_dryrun_20260723_190651,false,false,see registry notes,
flab_qwen25c3b_r4_benchguided_keep080_prune_20260723_191803,superseded,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,superseded,unknown,audit,superseded,invalid,not_applicable,experimental_extension,not_applicable,results/evidence/superseded/flab_qwen25c3b_r4_benchguided_keep080_prune_20260723_191803,false,false,see registry notes,
flab_qwen3b_humaneval_dry_run_20260718_194007,superseded,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,superseded,unknown,audit,superseded,invalid,not_applicable,local_official_adapter,not_applicable,results/evidence/superseded/flab_qwen3b_humaneval_dry_run_20260718_194007,true,true,see registry notes,
flab_qwen3b_humaneval_dry_run_20260718_201552,superseded,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,superseded,unknown,audit,superseded,invalid,not_applicable,local_official_adapter,not_applicable,results/evidence/superseded/flab_qwen3b_humaneval_dry_run_20260718_201552,true,true,see registry notes,
flab_qwen3b_humaneval_prune_heavy_20260718_194356,superseded,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,superseded,unknown,audit,superseded,invalid,not_applicable,local_official_adapter,not_applicable,results/evidence/superseded/flab_qwen3b_humaneval_prune_heavy_20260718_194356,true,true,see registry notes,
