score_id,run_id,method,model,variant,benchmark,protocol,split,task_count,pass_count,pass_rate,plus_pass_count,plus_pass_rate,metric_name,metric_value,result_completeness,validity_status,evidence_status,source_file,notes
1b3e37bcf78cd512,existing_checkpoint_stage_audit_20260802_194533,shared,unknown,unknown,mbpp,diagnostic,eval,8,0,0.0,,,pass_rate,0.0,complete,diagnostic_only,present,results/evidence/diagnostics/existing_checkpoint_stage_audit_20260802_194533/S2_sliced_lora_adapter/mbpp_evalplus/score/score_summary.json,variant could not be inferred
e03235aedc1bd219,qwen25c3b_eval_fix_verify_20260727_050755,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,unknown,humaneval,diagnostic,eval,82,27,0.32926829268292684,,,pass_rate,0.32926829268292684,complete,diagnostic_only,present,results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_050755/humaneval/score_summary.json,variant could not be inferred
7e9a795ea826d7dd,qwen25c3b_eval_fix_verify_20260727_050755,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,unknown,livecodebench,diagnostic,eval,200,28,0.14,,,pass_rate,0.14,complete,diagnostic_only,present,results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_050755/livecodebench/score_summary.json,variant could not be inferred
100102abf4445073,qwen25c3b_humaneval_evalhalf_indentfix_max512_20260726_191852,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,unknown,humaneval,diagnostic,eval,82,11,0.13414634146341464,,,pass_rate,0.13414634146341464,complete,diagnostic_only,present,results/evidence/diagnostics/qwen25c3b_humaneval_evalhalf_indentfix_max512_20260726_191852/humaneval/score_summary.json,variant could not be inferred
c24da58e31f722b1,qwen25c3b_humaneval_evalhalf_indentfix_max512_20260726_191852,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,unknown,humaneval,diagnostic,eval,82,27,0.32926829268292684,,,pass_rate,0.32926829268292684,complete,diagnostic_only,present,results/evidence/diagnostics/qwen25c3b_humaneval_evalhalf_indentfix_max512_20260726_191852/humaneval_reextract_fix/score_summary.json,variant could not be inferred
5b9093905b34e27d,codellama7b_4bit_r4_baseline_evalhalf_20260725_161912,baseline,codellama/CodeLlama-7b-hf,baseline,humaneval,r4_half,eval,82,2,0.024390243902439025,,,pass_rate,0.024390243902439025,complete,valid,present,results/evidence/r4_half/codellama7b_4bit_r4_baseline_evalhalf_20260725_161912/humaneval_evalhalf/score_summary.json,variant inferred from score path
67fbbb63e589808e,codellama7b_4bit_r4_baseline_evalhalf_20260725_161912,baseline,codellama/CodeLlama-7b-hf,baseline,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/codellama7b_4bit_r4_baseline_evalhalf_20260725_161912/livecodebench_evalhalf/score_summary.json,variant inferred from score path
ff3646d8821a73db,codellama7b_4bit_r4_baseline_evalhalf_20260725_161912,baseline,codellama/CodeLlama-7b-hf,baseline,mbpp,r4_half,eval,224,29,0.12946428571428573,,,pass_rate,0.12946428571428573,complete,valid,present,results/evidence/r4_half/codellama7b_4bit_r4_baseline_evalhalf_20260725_161912/mbpp_evalhalf/score_summary.json,variant inferred from score path
67bd1e1b620306ff,flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,benchmark_guided_keep80_lora_merged,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006/humaneval_evalhalf/score_summary.json,variant inferred from score path
3ed4092de8822cb5,flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,benchmark_guided_keep80_lora_merged,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006/livecodebench_evalhalf/score_summary.json,variant inferred from score path
d1cd61c5b7fb1d3a,flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,benchmark_guided_keep80_lora_merged,mbpp,r4_half,eval,224,4,0.017857142857142856,,,pass_rate,0.017857142857142856,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006/mbpp_evalhalf/score_summary.json,variant inferred from score path
b392dd5802a94515,flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,default_keep80_lora_merged,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144/humaneval_evalhalf/score_summary.json,variant inferred from score path
59807b5a1be9e545,flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,default_keep80_lora_merged,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144/livecodebench_evalhalf/score_summary.json,variant inferred from score path
5df8d449162716f5,flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,default_keep80_lora_merged,mbpp,r4_half,eval,224,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144/mbpp_evalhalf/score_summary.json,variant inferred from score path
c4a3ca1bb9c58e0b,flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,benchmark_guided_keep80,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756/benchguided_keep80/humaneval/score_summary.json,variant inferred from score path
7796a1eb6e1a924c,flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,benchmark_guided_keep80,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756/benchguided_keep80/livecodebench/score_summary.json,variant inferred from score path
ff1e1442f5511e96,flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,benchmark_guided_keep80,mbpp,r4_half,eval,224,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756/benchguided_keep80/mbpp/score_summary.json,variant inferred from score path
d472b98337cc29d1,flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,default_keep80,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756/default_keep80/humaneval/score_summary.json,variant inferred from score path
b2ce35b9a53a68bd,flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,default_keep80,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756/default_keep80/livecodebench/score_summary.json,variant inferred from score path
ca3cd4aa6df47ea6,flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,default_keep80,mbpp,r4_half,eval,224,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756/default_keep80/mbpp/score_summary.json,variant inferred from score path
605bfa23825a463f,flabpruner_qwen25c15b_official_keep80_20260730_015031,Flab-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,official_keep80,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/eval_v2/humaneval/score/score_summary.json,variant inferred from score path
